,Comment,Likes,Time,user,UserLink
259,"Amazing!! , I'd love a future DC movie about The Spectre!!!",0,6 days ago,,
260,This is Call VFX...The True VFX️,1,7 days ago,,
261,Guys can we appreciate the fact that we're getting the Rock to play a superhero after all these years???!,0,6 days ago,,
262,"This is one of the few movies along with Man of Steel in the DCEU to get me excited. Looks incredible, I just hope and pray that Dwayne Johnsons acting is up to the high standards this trailer is giving",257,9 days ago,,
263,"""Your magic is weak"" is a pretty badass.",0,7 days ago,,
264,"Ok ok I see you DC doing your thing, might just take Marvel out with this one.  Starting to like  Dwayne Johnson as the bad guy, this might be a keeper in the books for me.",0,7 days ago,,
265,Black Adam might just ignite the spark DC needed!!,0,2 days ago,,
266,Can't wait,0,6 days ago,,
267,"My question is, how come if Dr Fate is more powerful than Black Adam, how is he not destroying him.",2,4 days ago,,
268,I can’t believe we live in a time where I’m actually more excited for this than any upcoming marvel movie or show.,277,8 days ago,,
269,Imagine Cavill helping jsa to control both black Adam and sabbacc,0,7 days ago,,
270,Really hype for this movie and Shazam 2.,1,7 days ago,,
271,Well am hyped for this...️,0,5 days ago,,
272,Ah...What a goosebumps️‍,0,7 days ago,,
273,Yeahhhhh can't wait anymore!!,1,6 days ago,,
274,The way he was hovering at the end of this trailer looked awesome.  The hovering in the first trailer looked like he was being lifted by strings.,331,9 days ago,,
275,"I want to see this. It may be one of his most biggest movies yet.
No Kevin Heart, and serious demeanor.
Thays why id like to see how this goes..",0,6 days ago (edited),,
276,wow thats very amazing. I can't wait to see.,0,6 days ago,,
277,Doctor Fate is why i'm watching,5,1 day ago,,
278,This looks fire. DC looks like they stepping there game up. I know Marvel's tching.,0,7 days ago,,
279,"Shazam : ""I don't want fight you Black Adam.""Black Adam : ""I wouldn't wanna fight me neither.""",0,6 days ago,,
